"","Tags","","","Field 1m flyby 1","Field 1m hover 1","Field 1m hover 2","Field 3m flyby 1","Field 5m hover 1","Field 5m hover 2","Garden 1m hover 1","Garden 1m hover 2","Garden 3m flyby 1","Garden 3m flyby 2","Garden 5m flyby 1","Garden 5m hover 1","Garden 5m hover 2","Field 1m flyby 2","Field 3m flyby 2","Garden 1m flyby 1","Garden 1m flyby 2","Field 5m flyby 1"
"Name","Date","Before continuing, please note that the responses collected in this listening test will be used for research purposes only as part of an academic study. All responses will be anonymous and no personally identifying information will be collected.

By proceeding with this test, you confirm that:

You are 18 years of age or older.

You have no known hearing impairments that would affect your ability to evaluate the audio clips.

You are using headphones or good quality speakers in a reasonably quiet environment.

You understand that your participation is voluntary, and you may stop the test at any time.

By continuing to the test, you indicate that you consent to your responses being used for research and analysis purposes.","Example Sounds ","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating","field 3m flyby 2 rating","Audio Evaluation Task rating","Audio Evaluation Task rating","Audio Evaluation Task rating"
"CS Project Listening Test","2026-04-09 22:24:07","I confirm that I meet the above requirements.","","3","4","2","5","3","4","2","2","1","2","2","2","3","2","3","1","2","2"
"CS Project Listening Test","2026-04-09 13:17:49","I confirm that I meet the above requirements.","","4","4","3","2","2","2","1","2","2","1","2","2","2","4","4","1","2","1"
"CS Project Listening Test","2026-04-08 18:20:33","I confirm that I meet the above requirements.","","2","2","2","2","2","2","2","2","2","3","1","1","1","3","3","2","2","4"
"CS Project Listening Test","2026-04-08 15:54:21","I confirm that I meet the above requirements.","","3","4","2","5","1","2","1","2","3","1","2","2","2","4","5","1","2","1"
"CS Project Listening Test","2026-04-08 14:35:26","I confirm that I meet the above requirements.","","4","4","3","3","3","3","3","2","2","3","2","3","3","3","3","2","3","3"
"CS Project Listening Test","2026-04-08 14:15:23","I confirm that I meet the above requirements.","","2","2","3","3","1","3","3","3","3","3","1","3","3","1","1","3","3","1"
"CS Project Listening Test","2026-04-08 10:15:40","I confirm that I meet the above requirements.","","4","4","4","3","2","3","2","2","3","3","3","2","4","4","4","3","4","3"
"CS Project Listening Test","2026-04-08 10:09:55","I confirm that I meet the above requirements.","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"CS Project Listening Test","2026-04-08 00:40:20","I confirm that I meet the above requirements.","","4","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"CS Project Listening Test","2026-04-07 20:55:37","I confirm that I meet the above requirements.","","3","3","2","3","1","2","1","2","3","3","3","3","3","4","4","2","3","3"
"CS Project Listening Test","2026-04-07 20:01:48","I confirm that I meet the above requirements.","","2","1","1","2","1","1","1","2","2","1","1","1","3","3","3","2","2","1"
"CS Project Listening Test","2026-04-07 19:27:58","I confirm that I meet the above requirements.","","3","2","2","3","1","2","1","2","2","2","2","2","2","3","3","2","2","2"
"CS Project Listening Test","2026-04-07 18:54:59","I confirm that I meet the above requirements.","","3","2","2","1","1","2","1","1","2","1","2","3","4","4","4","1","1","1"
"CS Project Listening Test","2026-04-07 18:33:36","I confirm that I meet the above requirements.","","2","1","1","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1"
"CS Project Listening Test","2026-04-07 18:30:41","I confirm that I meet the above requirements.","","2","2","2","3","1","2","1","2","2","3","2","2","2","3","4","1","1","1"
"CS Project Listening Test","2026-04-07 18:28:02","I confirm that I meet the above requirements.","","2","2","2","3","2","2","3","3","3","2","3","2","2","4","4","2","2","2"
"CS Project Listening Test","2026-04-07 18:17:44","I confirm that I meet the above requirements.","","1","2","2","3","1","2","1","2","1","1","2","3","1","4","3","1","2","1"
"CS Project Listening Test","2026-04-07 17:51:52","I confirm that I meet the above requirements.","","4","5","4","3","2","3","2","2","1","2","2","3","3","4","4","3","3","2"
